,feature,class
10,"[-76.418175   139.55841    -60.763485    59.73767    -33.1448
  32.581844    -5.2542806   12.153185     2.5739183    5.1259394
  15.902894    -6.742963     8.914708   -11.573141     6.5445113
  -5.2430325    2.6119542    1.3137778   -1.6779542    3.9301221
  -4.7504916    6.184182    -3.6275024   -0.70569825  -5.309385
   2.0323606    0.54842246  -4.2098746    0.6323408   -3.963553
  -0.33323497  -3.1925056    1.0057323   -1.3432065   -0.4519289
  -0.5527241   -2.2402365   -2.4851334   -3.3611052   -1.0254841 ]",WeightedbladesNoise
11,"[-61.49147    150.60843    -89.781044    78.07637    -54.937794
  35.598164   -18.930244    16.635832    -6.149496     0.72332835
   9.016764   -11.679375    13.559196   -12.856064    14.487277
  -6.172686     6.097353    -1.7994411    2.1712272    5.7818956
  -3.0040817    5.1172786   -5.7066145    6.2284675   -5.562693
   3.651569    -1.8137381   -1.8011572    0.3072609   -2.6475403
   0.8364424   -4.1076937    1.0809184   -1.561574     3.571452
  -1.9808497   -1.0452582   -3.5588632   -2.8295894   -2.568058  ]",WeightedbladesNoise
12,"[-64.28995   152.21306   -88.706085   83.283264  -58.34403    41.288223
 -22.437054   14.675079   -8.34819     1.1510944  10.846025  -11.10947
  14.479307  -12.968706   14.847625   -8.141003    5.9004545  -2.4208522
   1.0558064   4.936788   -2.7760198   5.1319823  -4.746007    6.58541
  -5.1406193   5.0767536  -1.8374255  -3.5071826  -2.4962575  -3.0905154
  -1.8412424  -5.1172967   1.7316525  -1.568273    3.5414655  -1.1930332
   1.6725582  -2.2785616  -1.7955058  -2.5655458]",WeightedbladesNoise
13,"[-64.03335   152.73727   -86.92439    83.65755   -58.476204   40.15747
 -22.19346    14.047072   -5.45986     0.9682787  10.2768545 -10.653399
  14.808541  -11.960411   14.07245    -7.3367343   6.853386   -1.7507405
   1.7262863   5.155397   -1.9695542   5.6309066  -5.635483    6.6672606
  -5.159608    5.243293   -1.1329814  -3.2159579  -1.5557284  -2.5300918
  -1.4405432  -6.07428     1.9047939  -1.6856138   2.8572764  -0.9464307
   0.6511393  -2.258503   -1.7042003  -3.0640574]",WeightedbladesNoise
14,"[-62.015404   150.85846    -84.05336     80.23778    -56.4922
  38.79142    -20.350042    13.18255     -3.7937088    1.7409798
   9.70397     -9.81991     14.257525   -11.559146    14.5163555
  -7.285453     6.929881    -0.5282545    1.550053     4.8722486
  -2.0916307    6.4652977   -5.264398     6.745402    -4.3642263
   5.6099296   -0.64318895  -3.308126    -1.0191027   -3.1142154
  -1.0018454   -5.805514     1.0330161   -1.770874     2.8205595
  -0.56824267   0.49868298  -2.084161    -1.4770653   -2.6338115 ]",WeightedbladesNoise
15,"[-6.9495461e+01  1.4875212e+02 -7.6616959e+01  7.7461693e+01
 -5.4795185e+01  3.8537052e+01 -1.5753782e+01  1.4305793e+01
 -2.0288079e+00  5.7861514e+00  1.3424518e+01 -1.0117768e+01
  1.6032036e+01 -8.3339443e+00  1.7066450e+01 -5.1252341e+00
  7.8481421e+00  2.6892560e+00  1.3754956e+00  5.3991036e+00
 -3.6157320e+00  7.1414151e+00 -3.8135939e+00  6.6963634e+00
 -2.8021235e+00  3.2686160e+00 -1.6448910e+00 -1.7420917e+00
  6.1195952e-01 -3.4837039e+00 -1.1108453e-01 -4.2083802e+00
  1.5459366e+00 -2.6260290e+00  1.2943172e+00 -1.1649997e+00
 -9.3001788e-03 -2.9727345e+00 -2.8327532e+00 -1.3441734e+00]",WeightedbladesNoise
16,"[-89.932556   147.65814    -65.65632     71.86215    -48.345062
  35.27905     -8.638953    16.821884     2.603364     5.098936
  15.5167675   -8.999008    14.728559    -6.286673    13.927505
  -1.0448731    8.802744     3.631529     0.39644226   5.692032
  -2.9647644    4.338414    -4.3911834    6.5586724   -1.4710064
   2.8590524   -0.1506247   -0.8593795    2.0779402   -3.3642306
  -1.0740911   -4.418114     0.935257    -2.452042    -0.23549815
  -2.2222395   -0.5075213   -1.9192787   -3.0735562   -1.648799  ]",WeightedbladesNoise
17,"[-93.47766    151.93715    -82.72548     80.38454    -57.196526
  41.587173   -25.176594    14.68155    -10.726307     3.9700193
  11.091324   -10.347604    12.244278   -15.899488    12.507003
  -8.20453     10.550119    -3.5850117    2.800198     4.250727
  -3.956617     5.775824    -7.034724     5.002482    -4.3335247
   4.7145467   -3.6759033    0.5840812   -0.77138114  -2.8784022
   0.6389743   -2.684385     2.6798434   -3.3601627    2.039454
  -3.9941227   -2.2829058   -3.7328317   -1.1397178   -1.9803182 ]",WeightedbladesNoise
18,"[-89.895164   148.48964    -75.62239     77.30371    -54.11211
  41.707157   -18.505919    15.537081    -8.760104     3.4459684
  14.6923275   -7.6983852   12.9334135  -15.996182    14.013263
  -5.465149     9.158164     0.8089251    2.2387135    4.573431
  -2.259859     6.009481    -7.31512      5.7264977   -2.7971394
   5.555754    -2.289503    -1.1512516    0.8314551   -1.5204062
   1.1491743   -3.9725604    2.2477083   -2.6572504    2.0815954
  -3.1393526   -2.7693324   -4.3514895   -1.6396617   -0.53751045]",WeightedbladesNoise
19,"[-96.78285    149.38908    -79.758194    80.87717    -59.610752
  39.030586   -24.4052      16.857203    -9.207112     4.6714187
  14.87045     -9.566507    12.029472   -17.33105     12.776124
  -8.592145    10.883953     1.3368218    3.0504355    4.5959787
  -3.7846053    6.7534842   -6.8530107    6.0276375   -3.1774304
   4.361407    -1.5662018   -0.4454624   -0.74064064  -2.7929919
   1.0507584   -2.0539274    1.7160374   -2.888393     1.690181
  -4.9002905   -2.67919     -3.4443173   -0.6764812   -1.3988081 ]",WeightedbladesNoise
